   Data source: Cometa - EmgTools - 2.1.4 - Files: 0956~... - collection; EMG filter: 0 - 500 Hz     - 
Time(s)  ; L.RecFem(uV) ; L.VasLat(uV) ; L.VasMedO(uV) ; L.VasMedV(uV) 
  0.3660;  17.5109;  17.2246;   8.4680;  38.8629;
  0.3670;  17.7105;  15.8641;   8.7594;  37.5341;
  0.3680;  17.9178;  13.7652;   6.9425;  36.6936;
  0.3690;  17.9560;  14.0726;   6.1613;  35.2222;
  0.3700;  16.7505;  14.4354;   6.1443;  34.4206;
  0.3710;  16.1492;  14.5695;   7.5834;  33.6490;
  0.3720;  16.9063;  14.6972;   8.1190;  32.4640;
  0.3730;  17.6279;  14.6554;   7.4766;  31.9795;
  0.3740;  16.3664;  15.3223;   8.5725;  32.3164;
  0.3750;  14.8688;  15.7050;   8.2186;  32.7854;
  0.3760;  15.5007;  14.5746;   6.6441;  31.3314;
  0.3770;  15.2683;  13.6022;   7.1465;  29.1356;
  0.3780;  13.9676;  15.1660;   8.4748;  28.0439;
  0.3790;  13.4068;  15.4868;   8.8856;  27.5546;
  0.3800;  14.1727;  13.8085;   8.6466;  28.4211;
  0.3810;  14.6610;  14.1950;   7.8118;  28.6886;
  0.3820;  13.3313;  14.1889;   7.2804;  28.3864;
  0.3830;  13.7098;  13.6658;   8.5121;  29.3384;
  0.3840;  14.3171;  14.9707;   8.4149;  28.2056;
  0.3850;  13.6598;  15.4774;   8.0115;  27.5620;
  0.3860;  14.7807;  14.5471;   9.9203;  29.4073;
  0.3870;  16.4601;  14.4882;   9.9766;  28.0112;
  0.3880;  16.9110;  14.7031;   9.3221;  27.2962;
  0.3890;  15.4612;  13.8689;   9.4773;  29.9801;
  0.3900;  16.1463;  15.0532;  10.0668;  28.9156;
  0.3910;  17.3602;  16.4832;  11.0405;  26.3966;
  0.3920;  13.8528;  14.7853;   8.9452;  26.8461;
  0.3930;  13.0760;  14.6498;   8.3523;  27.9876;
  0.3940;  13.8717;  15.2126;   9.5946;  29.6642;
  0.3950;  12.8982;  14.5509;   8.3174;  31.1741;
  0.3960;  13.9456;  14.8716;   8.9290;  31.8236;
  0.3970;  12.8156;  14.1976;   8.9167;  31.5863;
  0.3980;  11.5985;  13.6231;   7.1059;  31.2576;
  0.3990;  11.9588;  14.4986;   7.4207;  32.6946;
  0.4000;  13.7871;  17.1968;   8.4518;  29.7409;
  0.4010;  17.0829;  20.7829;   9.2698;  24.0736;
  0.4020;  13.6064;  19.7954;   7.9884;  27.0144;
  0.4030;  10.6056;  16.9610;   7.3271;  30.8277;
  0.4040;  11.8144;  15.7437;   7.9271;  28.8801;
  0.4050;   9.8428;  14.3284;   6.5301;  29.0098;
  0.4060;  10.3182;  16.2630;   6.9088;  29.3220;
  0.4070;  11.2129;  20.4065;   6.8692;  28.9051;
  0.4080;  10.6776;  18.4805;   5.6386;  30.7332;
  0.4090;  11.8661;  11.6564;   6.2271;  30.4116;
  0.4100;  10.9865;   9.9076;   6.1082;  29.2148;
  0.4110;  10.2918;  12.8478;   6.8425;  30.2994;
  0.4120;  10.1671;  13.5362;   7.3066;  30.7135;
  0.4130;  10.3979;  14.5158;   8.0685;  30.5313;
  0.4140;  11.6933;  16.9415;   9.9402;  31.3339;
  0.4150;  11.4346;  17.9856;   7.6796;  31.9504;
  0.4160;  11.3127;  18.8248;   6.7320;  31.6592;
  0.4170;  10.3696;  19.2473;   8.7538;  31.2066;
  0.4180;   9.8524;  18.1194;   8.6333;  31.2264;
  0.4190;  10.3975;  15.7529;   7.8629;  31.0102;
  0.4200;   9.4663;  13.4899;   6.7495;  30.4275;
  0.4210;  10.3286;  12.9724;   7.5108;  30.8853;
  0.4220;  10.6433;  13.6669;   7.9349;  31.5738;
  0.4230;  10.7323;  13.9772;   6.5409;  31.7329;
  0.4240;  13.4470;  15.2779;   8.2600;  32.6650;
  0.4250;  14.0080;  18.1370;   8.7715;  32.8068;
  0.4260;  13.2098;  17.5456;   7.1440;  32.1064;
  0.4270;  13.2826;  16.1970;   6.3873;  32.5627;
  0.4280;  14.7693;  18.0524;   6.8914;  32.8885;
